"YEAR","CASEID","REGION","FAMINCOME","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","CITIZEN","BPL","EDUCYRS","EMPSTAT","FULLPART","KIDUND18","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_HHACT","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK","BLS_PCARE_SLEEP","Sleep_Time","Time_Use"
2020,20200101200103,4,13,1,1,5541150.024906,85,1,110,2,1,9900,316,5,99,0,0,0,0,105,0,865,10,0,0,0,440,20,0,0,0,830,830,1440
2020,20200101200158,3,15,1,1,2.3480415185022E7,43,1,100,5,1,9900,217,1,1,1,0,0,0,60,110,460,0,0,0,0,196,0,109,0,470,420,420,1405
2020,20200101200215,2,4,1,1,1.0433370776781E7,23,2,100,6,1,9900,217,1,2,0,0,0,0,60,20,670,60,0,0,0,305,0,40,0,285,600,600,1440
2020,20200101200256,4,9,1,1,8671348.931807,18,1,100,6,1,9900,112,5,99,0,0,0,270,50,14,510,0,0,0,0,596,0,0,0,0,490,490,1440
2020,20200101200395,3,14,1,1,4.5141376877048E7,20,1,100,6,1,9900,112,1,2,0,0,0,422,40,30,443,0,0,25,0,334,75,71,0,0,443,443,1440
2020,20200101200512,4,15,1,1,3.6015633485252E7,27,2,110,6,1,9900,214,1,1,0,0,0,0,10,33,1397,0,0,0,0,0,0,0,0,0,1397,1397,1440
2020,20200101200532,3,1,1,1,4469457.678949,52,2,100,3,1,9900,214,5,99,0,0,0,0,75,362,600,60,0,0,0,338,0,5,0,0,570,570,1440
2020,20200101200576,4,14,1,1,3856737.466491,30,2,100,1,1,9900,217,1,1,1,14,0,0,90,170,661,0,0,15,0,490,0,0,0,0,606,606,1440
2020,20200101200586,3,12,1,1,1.3486592719511E7,58,1,110,1,1,9900,112,1,1,0,0,0,0,66,15,463,0,0,0,10,22,0,165,120,514,441,441,1375
2020,20200101200641,3,12,1,1,3382890.205241,45,2,100,6,1,9900,215,1,1,0,0,0,0,20,70,465,0,0,5,0,270,0,30,0,580,420,420,1440
2020,20200101200655,2,4,1,1,1962044.00227,78,2,100,4,4,46200,217,5,99,0,0,0,0,30,180,570,210,0,0,0,450,0,0,0,0,540,540,1440
2020,20200101200694,4,7,1,1,2038733.708867,85,2,100,3,1,9900,316,5,99,0,0,0,0,45,50,1080,0,0,0,0,265,0,0,0,0,1080,1080,1440
2020,20200101200719,2,16,1,1,1.0724690569572E7,40,2,100,1,1,9900,217,1,1,1,135,0,0,45,83,507,0,0,0,0,0,0,130,0,540,477,477,1440
2020,20200101200734,1,15,1,1,4122074.183005,38,2,100,1,1,9900,316,1,1,1,135,0,0,105,225,705,0,0,20,0,210,0,40,0,0,630,630,1440
2020,20200101200759,1,8,1,1,1.5861189127572E7,85,2,100,4,1,9900,320,5,99,0,15,0,0,110,295,415,0,0,50,0,350,0,60,0,0,385,385,1295
